,host_id,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,listing_per_host,availability_365,distance,last_review
25323,2856748,Manhattan,Hell's Kitchen,Entire home/apt,220,30,0,1.3770742181764792,49,365,6369.507434319538,6762
25324,50943387,Manhattan,Lower East Side,Entire home/apt,175,1,1,0.02,1,0,6374.638170739478,1282
25325,24708016,Manhattan,Upper West Side,Entire home/apt,170,3,11,0.31,1,0,6367.6022479388375,323
25326,26818265,Manhattan,Upper West Side,Entire home/apt,280,1,1,0.02,1,0,6365.783389197663,1464
25327,81510823,Brooklyn,Bedford-Stuyvesant,Shared room,30,1,99,6.31,1,67,6376.435990201029,8
25328,45204053,Brooklyn,Williamsburg,Private room,70,5,22,0.48,2,359,6373.632980039221,37
25329,51501835,Manhattan,Hell's Kitchen,Entire home/apt,107,30,8,0.24,31,332,6369.882007654279,65
25330,56728868,Manhattan,Upper East Side,Entire home/apt,115,14,0,1.3770742181764792,1,0,6367.860633713848,6762
25331,21565088,Manhattan,East Harlem,Entire home/apt,99,1,50,0.87,1,333,6365.044580521371,2
25332,127567480,Manhattan,Harlem,Entire home/apt,295,1,52,5.05,1,256,6361.602610121211,1
25333,241366983,Manhattan,Hell's Kitchen,Entire home/apt,250,2,0,1.3770742181764792,1,0,6369.911513663311,6762
25334,22307859,Brooklyn,Canarsie,Private room,98,3,0,1.3770742181764792,5,361,6380.844066952143,6762
25335,1746811,Brooklyn,Park Slope,Entire home/apt,100,2,52,1.08,2,30,6378.823886430775,8
25336,131767309,Manhattan,Two Bridges,Private room,35,1,2,0.11,1,0,6375.601960765594,553
25337,139724098,Manhattan,Hell's Kitchen,Entire home/apt,299,4,16,5.45,1,59,6370.216142923075,12
25338,22002554,Brooklyn,Bushwick,Entire home/apt,180,7,3,0.22,1,1,6374.931941596475,187
25339,262360035,Manhattan,Hell's Kitchen,Shared room,76,1,6,3.46,6,365,6369.58917112221,27
25340,252604696,Manhattan,Chelsea,Private room,219,1,4,1.82,20,356,6371.4317008901635,4
25341,161514654,Manhattan,East Harlem,Entire home/apt,135,2,56,3.11,1,66,6365.418658060376,26
25342,256998898,Manhattan,Harlem,Entire home/apt,550,1,0,1.3770742181764792,3,365,6364.65841480335,6762
25343,17003476,Brooklyn,Crown Heights,Private room,72,3,6,0.1,1,83,6377.951177833415,1118
25344,13208109,Brooklyn,Flatbush,Private room,45,5,3,0.16,1,0,6382.359399787367,358
25345,231484830,Manhattan,Theater District,Entire home/apt,450,3,0,1.3770742181764792,1,161,6369.824406194455,6762
25346,2807926,Brooklyn,Prospect Heights,Private room,90,2,0,1.3770742181764792,1,0,6378.297489871757,6762
25347,8012008,Manhattan,Kips Bay,Entire home/apt,125,2,0,1.3770742181764792,1,0,6372.147397551672,6762
25348,10532769,Brooklyn,Carroll Gardens,Entire home/apt,180,2,97,1.83,1,24,6378.783625826976,2
25349,2382189,Manhattan,Lower East Side,Entire home/apt,125,1,261,3.24,1,212,6374.335643984156,16
25350,156114168,Brooklyn,Prospect-Lefferts Gardens,Shared room,39,1,0,1.3770742181764792,6,207,6380.098034508002,6762
25351,45857976,Manhattan,Harlem,Entire home/apt,88,2,24,0.53,1,39,6362.911018602126,9
25352,1345611,Brooklyn,Bedford-Stuyvesant,Private room,87,1,4,2.26,1,12,6376.3570520255125,8
25353,219517861,Manhattan,Financial District,Entire home/apt,425,2,5,1.18,327,311,6376.407030462518,21
25354,7474069,Manhattan,Washington Heights,Entire home/apt,199,1,39,0.89,3,192,6359.875479078431,56
25355,50016613,Manhattan,Harlem,Private room,100,3,1,0.03,1,0,6362.5392193338685,1197
25356,201419214,Brooklyn,Clinton Hill,Private room,185,30,0,1.3770742181764792,3,347,6377.659670141582,6762
25357,188160057,Manhattan,Washington Heights,Private room,125,3,0,1.3770742181764792,1,363,6359.43315182058,6762
25358,158407820,Queens,Woodside,Private room,53,2,33,3.67,5,157,6368.750013494265,19
25359,197053492,Manhattan,Financial District,Entire home/apt,650,1,7,0.76,8,315,6376.501695156939,50
25360,5977578,Brooklyn,Crown Heights,Private room,45,2,0,1.3770742181764792,2,100,6378.1368310397775,6762
25361,195057742,Manhattan,Upper East Side,Entire home/apt,135,2,6,0.5,1,0,6367.352997146866,294
25362,6615826,Queens,Sunnyside,Private room,50,5,6,1.41,1,54,6370.563825692969,14
25363,17928071,Brooklyn,Williamsburg,Private room,85,3,23,0.42,2,280,6374.765100673213,98
25364,15310997,Manhattan,Upper East Side,Entire home/apt,200,30,4,0.17,9,364,6367.859979215756,156
25365,1613244,Brooklyn,Brighton Beach,Entire home/apt,110,30,7,0.19,9,284,6388.518738955542,334
25366,23443666,Manhattan,West Village,Entire home/apt,190,7,1,0.05,1,0,6373.249303222761,549
25367,6584607,Brooklyn,Williamsburg,Private room,90,1,18,1.62,2,9,6374.096022655429,38
25368,25039414,Brooklyn,Williamsburg,Private room,200,5,11,0.36,1,83,6373.958219733396,663
25369,125857,Manhattan,East Village,Entire home/apt,185,5,73,0.66,1,209,6374.147348456386,13
25370,248035116,Manhattan,Financial District,Entire home/apt,195,30,13,4.59,1,174,6376.272266642959,8
25371,48735753,Manhattan,Harlem,Private room,36,2,0,1.3770742181764792,1,0,6363.210461912233,6762
25372,72101538,Brooklyn,Gravesend,Entire home/apt,300,2,0,1.3770742181764792,1,0,6387.66145748809,6762
25373,4391922,Brooklyn,Navy Yard,Entire home/apt,150,2,19,1.27,1,0,6376.221573007862,191
25374,185022050,Brooklyn,Bensonhurst,Entire home/apt,99,30,5,0.36,1,320,6385.843037924121,86
25375,153356660,Brooklyn,Bushwick,Private room,75,1,0,1.3770742181764792,1,83,6374.997036938054,6762
25376,4103952,Brooklyn,Bedford-Stuyvesant,Private room,51,3,4,0.06,1,188,6375.494302972004,186
25377,652092,Manhattan,Upper East Side,Entire home/apt,90,80,20,0.29,1,203,6369.122984641926,980
25378,61316506,Queens,Sunnyside,Entire home/apt,145,1,14,2.9,2,331,6369.873571438669,14
25379,36903246,Manhattan,Upper East Side,Entire home/apt,700,1,1,0.02,1,0,6367.574612436245,1402
25380,31799541,Manhattan,Upper West Side,Private room,75,1,12,0.27,1,0,6366.131757946479,869
25381,50224626,Queens,Ridgewood,Private room,45,2,1,1.0,1,133,6374.129838370247,1
25382,209386156,Manhattan,East Harlem,Shared room,49,2,23,2.12,9,10,6364.91485612297,8
25383,11179499,Manhattan,Greenwich Village,Entire home/apt,180,3,2,0.04,1,0,6373.908434557936,1499
25384,3158364,Queens,Sunnyside,Private room,45,5,70,2.23,4,250,6371.128639813595,8
25385,7752638,Brooklyn,Sunset Park,Private room,95,2,0,1.3770742181764792,1,137,6383.565620661074,6762
25386,2489199,Manhattan,Harlem,Entire home/apt,99,25,16,0.3,1,157,6362.383091434265,7
25387,110520215,Manhattan,Upper West Side,Private room,500,1,0,1.3770742181764792,1,173,6365.416825754254,6762
25388,241945355,Brooklyn,Flatlands,Entire home/apt,165,2,5,1.58,2,365,6382.378014868992,19
25389,12446529,Bronx,Soundview,Private room,50,2,32,0.51,2,156,6360.0935368372875,92
25390,131829860,Brooklyn,East Flatbush,Private room,55,3,1,0.06,1,0,6382.412539813886,477
25391,21175506,Brooklyn,Greenpoint,Entire home/apt,165,1,1,0.02,1,0,6372.631024050269,1466
25392,154184894,Queens,Cambria Heights,Private room,130,2,0,1.3770742181764792,2,0,6370.799105387237,6762
25393,6202020,Queens,Astoria,Private room,119,1,0,1.3770742181764792,1,0,6367.790515048557,6762
25394,168465501,Manhattan,Upper West Side,Entire home/apt,125,30,5,0.34,4,220,6367.338880448405,52
25395,23863809,Manhattan,Chelsea,Entire home/apt,220,1,8,0.19,2,0,6372.6906387188465,1043
25396,20120009,Brooklyn,Bushwick,Private room,38,1,36,2.0,6,0,6375.902439385433,81
25397,1574687,Manhattan,Financial District,Entire home/apt,180,2,3,1.14,1,5,6376.676501883549,42
25398,261376215,Brooklyn,Bushwick,Entire home/apt,300,3,3,1.88,1,355,6374.944726619503,14
25399,27537930,Bronx,Pelham Gardens,Shared room,20,1,0,1.3770742181764792,1,5,6355.851291627723,6762
25400,723184,Manhattan,East Village,Shared room,65,2,0,1.3770742181764792,1,0,6373.387480137549,6762
25401,59156312,Queens,Woodhaven,Private room,69,3,28,1.95,9,359,6374.852789627612,14
25402,73597988,Manhattan,Upper West Side,Entire home/apt,135,2,1,0.04,1,0,6365.316794819236,666
25403,2515124,Manhattan,Kips Bay,Entire home/apt,145,3,2,0.02,1,0,6372.242407583385,1110
25404,21921891,Brooklyn,Williamsburg,Private room,80,5,1,0.04,1,0,6374.402745944482,682
25405,229147376,Brooklyn,Bedford-Stuyvesant,Private room,40,15,3,0.47,11,354,6377.3167125304735,66
25406,140488110,Brooklyn,Williamsburg,Private room,60,2,0,1.3770742181764792,1,0,6375.045547358488,6762
25407,14751888,Manhattan,Upper West Side,Private room,79,2,6,0.16,1,0,6367.004895014956,692
25408,377361,Manhattan,East Village,Entire home/apt,160,3,25,0.4,1,0,6373.793945769491,776
25409,97825348,Queens,Arverne,Entire home/apt,150,2,20,0.61,1,76,6383.382082044026,1
25410,99097436,Manhattan,Harlem,Entire home/apt,100,1,145,4.81,1,9,6361.8516749887485,8
25411,1577493,Brooklyn,Fort Greene,Private room,135,3,16,0.18,1,0,6377.544056809059,310
25412,6933112,Manhattan,Financial District,Private room,102,1,0,1.3770742181764792,2,0,6376.3099934275415,6762
25413,3424328,Manhattan,Chelsea,Entire home/apt,500,1,27,0.46,1,90,6372.693381825588,1024
25414,13709292,Manhattan,Murray Hill,Entire home/apt,0,3,0,1.3770742181764792,1,0,6370.894587010722,6762
25415,24975940,Manhattan,Greenwich Village,Entire home/apt,159,90,0,1.3770742181764792,2,90,6373.260717705776,6762
25416,37140959,Manhattan,East Village,Private room,66,3,0,1.3770742181764792,1,9,6374.0035418548705,6762
25417,47617616,Queens,Long Island City,Private room,105,4,10,0.33,1,70,6370.718562536568,40
25418,8108429,Manhattan,East Village,Entire home/apt,99,2,15,0.89,1,0,6373.315284747911,15
25419,697442,Brooklyn,East Flatbush,Private room,57,1,206,5.2,3,89,6380.998585691381,1
25420,8628273,Manhattan,East Village,Entire home/apt,140,2,2,0.11,1,0,6373.383146189458,236
25421,8471197,Brooklyn,Williamsburg,Entire home/apt,175,3,28,1.43,1,0,6374.6927842085815,379
25422,271401156,Manhattan,Upper East Side,Shared room,69,1,0,1.3770742181764792,1,164,6368.1160652394165,6762
25423,107953084,Brooklyn,Prospect-Lefferts Gardens,Private room,60,2,48,2.55,3,276,6379.65732598956,13
25424,43897442,Brooklyn,Flatbush,Private room,62,1,73,1.58,1,334,6380.759600742517,19
25425,34262042,Manhattan,Harlem,Entire home/apt,75,2,15,0.32,1,0,6362.758520664427,201
25426,6255971,Brooklyn,Williamsburg,Private room,85,2,7,0.83,1,326,6374.566566146795,7
25427,11039974,Manhattan,Upper West Side,Entire home/apt,399,1,0,1.3770742181764792,2,0,6367.972772514571,6762
25428,5059784,Queens,Astoria,Entire home/apt,125,1,10,0.26,1,0,6368.189635802705,1092
25429,11459431,Manhattan,Hell's Kitchen,Entire home/apt,300,5,1,0.1,1,11,6370.290078046454,286
25430,44123062,Brooklyn,Bushwick,Private room,40,3,50,3.96,4,9,6375.761930239657,9
25431,158757567,Brooklyn,Park Slope,Entire home/apt,400,3,42,2.22,1,46,6378.963104827459,20
25432,985926,Manhattan,Washington Heights,Entire home/apt,75,20,0,1.3770742181764792,1,0,6360.208493212787,6762
25433,72838963,Queens,Jamaica,Shared room,19,1,26,1.4,2,138,6373.492446738549,28
25434,41140356,Brooklyn,Park Slope,Entire home/apt,195,7,14,0.37,1,326,6379.357412619476,80
25435,72770139,Brooklyn,South Slope,Private room,60,1,1,0.03,1,0,6380.1603839052,1094
